symbol,group,top_tissue,top_tissue_tpm,brain_mean,nonbrain_mean,log2fc_brain_vs_nonbrain,tau
KIR3DL2,TOL,Whole_Blood,4.33112,0.001528996034661,0.20067342671941,-0.1991444306847489,0.971980066580965
ASMT,TOL,Pituitary,1.54041,0.2656203714483231,0.4672056513199079,-0.2015852798715848,0.7713311691488998
H3C8,TOL,Cells_EBV-transformed_lymphocytes,3.10828,0.0,0.2028668382641307,-0.2028668382641307,0.961029397359273
GOLGA8O,TOL,Thyroid,1.16915,0.0837578741540182,0.2882920382568673,-0.204534164102849,0.8404377207321814
ZNF443,TOL,Liver_Portal_Tract,6.49186,1.8816294056838665,2.089259886718786,-0.2076304810349198,0.489607458359679
SERHL2,TOL,Ovary,18.6293,1.7336994164229214,1.9413778620882147,-0.2076784456652933,0.8359173949301978
PAGE2B,TOL,Testis,60.1758,0.1186059288129625,0.3300756964762828,-0.2114697676633202,0.9972016411069796
TUBA3D,TOL,Testis,470.385,0.6280429654905905,0.8398113974477057,-0.2117684319571152,0.997558067280232
CRLF2,TOL,Small_Intestine_Terminal_Ileum_Lymphode_Aggregate,1.18834,0.0090449261293074,0.2227363969939101,-0.2136914708646027,0.8885889861663291
AMY1B,TOL,Pancreas_Acini,8.82973,0.043911473640333,0.2593233524903637,-0.2154118788500306,0.964602239912307
RLN2,TOL,Testis,3.55506,0.2128727991413234,0.4303818682590131,-0.2175090691176896,0.8925756926158896
VAMP7,TOL,Artery_Tibial,57.1122,4.506323008963891,4.724971165919059,-0.2186481569551679,0.5388729475005132
RHD,TOL,Whole_Blood,2.65804,0.3180881656361238,0.5376909697718265,-0.2196028041357026,0.8400430111560152
LRRC37A,TOL,Testis,2.14066,0.3617850401205488,0.5820959955260175,-0.2203109554054687,0.7869409922536096
TRIM73,TOL,Stomach_Mixed_Cell,5.19592,0.709354327056312,0.9335440279637576,-0.2241897009074457,0.8128785231719123
TOP3B,TOL,Ovary,2.21833,0.4985226056289855,0.7383148780916562,-0.2397922724626706,0.7050139775039863
NPIPB13,TOL,Small_Intestine_Terminal_Ileum_Lymphode_Aggregate,4.6332,0.92810417344592,1.1723426016509513,-0.2442384282050312,0.7355330218887434
CYP2E1,TOL,Liver_Mixed_Cell,4551.41,2.7410027256517213,2.986454628109708,-0.2454519024579866,0.9759548680649957
S100A7,TOL,Skin_Not_Sun_Exposed_Suprapubic,77.8922,0.5121157516388289,0.7640558735429179,-0.251940121904089,0.9604978510867316
CYP4V2,TOL,Liver_Hepatocyte,43.0151,3.685228645571683,3.94373867538201,-0.2585100298103269,0.63793402365438
TUBA3E,TOL,Testis,348.287,0.1278217879939292,0.3943475046241633,-0.266525716630234,0.9988379919477114
DPY19L2,TOL,Testis,51.9639,2.4895525015775912,2.75735214234763,-0.2677996407700389,0.8340086095361322
SFTPA1,TOL,Lung,1730.39,0.1300989317523672,0.4050725131680102,-0.2749735814156429,0.9998758499313372
SPDYE5,TOL,Testis,2.49243,0.237522608314369,0.5168654592831007,-0.2793428509687315,0.8491959504124758
SMN1,TOL,Ovary,8.4728,2.007873441189401,2.2917975846011447,-0.2839241434117432,0.5362755197668535
POMZP3,TOL,Testis,52.1993,3.657755445822656,3.94542873741664,-0.287673291593983,0.7089393347214498
TMSB15A,TOL,Cervix_Endocervix,8.6373,0.8498532837194831,1.1493570596554528,-0.2995037759359696,0.8229040532463243
AMY2A,TOL,Pancreas_Mixed_Cell,4149.87,0.843987127279483,1.1447552835371917,-0.3007681562577087,0.9747832264625158
POLR2J2,TOL,Small_Intestine_Terminal_Ileum_Lymphode_Aggregate,1.94946,0.3279721254607941,0.63078632561647,-0.3028142001556759,0.7476903056659702
RGPD8,TOL,Testis,4.76933,0.5593373896285665,0.8682863185414547,-0.3089489289128881,0.8394799031660976
H2BC18,TOL,Vagina,7.11867,0.5620515976027677,0.8778611916504303,-0.3158095940476626,0.866658076683744
DEFA3,TOL,Whole_Blood,499.23,0.4929805499258889,0.8090928631677926,-0.3161123132419037,0.9956106145254738
GPR89B,TOL,Small_Intestine_Terminal_Ileum_Lymphode_Aggregate,10.6716,2.072852762847285,2.391737164427219,-0.3188844015799339,0.602959536065316
CYP2D6,TOL,Liver,223.886,1.902176282918584,2.2315150607822445,-0.3293387778636605,0.9571129706736412
POLR2J3,TOL,Small_Intestine_Terminal_Ileum_Lymphode_Aggregate,2.58454,0.6269214065941522,0.9600269398298888,-0.3331055332357366,0.6592111255341608
ATP5F1A,TOL,Heart_Left_Ventricle,330.956,6.769868303783527,7.104752883324613,-0.3348845795410859,0.5849951916771909
CCZ1,TOL,Cervix_Endocervix,14.6642,2.991626099542885,3.3271543264325465,-0.3355282268896613,0.382422997056289
SPDYE1,TOL,Testis,8.86917,0.1875576873403369,0.5250242185063371,-0.3374665311660001,0.9605644466319092
CEP20,TOL,Cells_Cultured_fibroblasts,49.1024,4.270739512015402,4.610569329503446,-0.3398298174880434,0.5187338716580349
CTAGE4,TOL,Testis,1.81169,0.0038062508195845,0.3491300333492006,-0.345323782529616,0.8764986357670661
NOTCH2NLR,TOL,Cervix_Ectocervix,1.46653,0.1439939577337979,0.4910613691756766,-0.3470674114418787,0.7435696111167482
AQP12A,TOL,Pancreas_Acini,41.5412,0.0056126604429497,0.3561970889095474,-0.3505844284665977,0.9763402224240318
LSM7,TOL,Small_Intestine_Terminal_Ileum_Lymphode_Aggregate,206.98,5.323434257491742,5.674057297501494,-0.3506230400097516,0.7530137672830167
CNTNAP3B,TOL,Esophagus_Muscularis,2.58581,0.2235575342323815,0.5772856749984738,-0.3537281407660923,0.8202262641568419
GPR89A,TOL,Cells_Cultured_fibroblasts,8.09066,1.903510723228268,2.259261429389908,-0.3557507061616398,0.5380347547241778
KIR2DL4,TOL,Spleen,8.3367,0.0100090342943977,0.369977264726439,-0.3599682304320413,0.967929369668982
RASA4B,TOL,Muscle_Skeletal,5.79036,1.0704138456474093,1.4339737856389312,-0.3635599399915219,0.6903054438499068
RAET1L,TOL,Esophagus_Mucosa,56.0531,0.0030609652421511,0.366852235847787,-0.3637912706056358,0.99035273323054
PPP2R3B,TOL,Muscle_Skeletal,60.8739,3.3846464435833736,3.752756225440861,-0.3681097818574876,0.7690004585696888
ASMTL,TOL,Cells_EBV-transformed_lymphocytes,40.8635,4.017334102763794,4.388353254715219,-0.3710191519514252,0.4943713553806457
SPDYE6,TOL,Testis,3.38467,0.1656771446036464,0.5385240718822105,-0.372846927278564,0.8870184835585947
SLC10A1,TOL,Liver,94.3305,0.1264314818140152,0.49931074148032,-0.3728792596663048,0.9896457189619194
TIMM23B-AGAP6,TOL,Nerve_Tibial,1.2489,0.2724679715903733,0.6475022961772093,-0.375034324586836,0.5880072911923686
ZNF322,TOL,Uterus,6.68884,1.520439219629616,1.900161689887906,-0.37972247025829,0.5855431104802143
SLC35E2A,TOL,Brain_Cerebellum,10.175,1.832733830699511,2.213213112267158,-0.3804792815676472,0.627758973193003
AQP12B,TOL,Pancreas_Acini,60.2049,0.0245244875890182,0.4123109818644078,-0.3877864942753896,0.9750522097633596
GOLGA6L4,TOL,Ovary,1.73669,0.0973131103544561,0.4873484252741711,-0.390035314919715,0.7977643223001931
NPIPB12,TOL,Small_Intestine_Terminal_Ileum_Lymphode_Aggregate,3.70311,0.9692148114682618,1.3605905238638725,-0.3913757123956106,0.5825555300693807
CYP4A22,TOL,Liver,76.257,0.1581499953262447,0.5507645778378248,-0.3926145825115801,0.9845744390678888
GOLGA8A,TOL,Brain_Cerebellum,202.303,4.932888130765581,5.331325543032873,-0.3984374122672927,0.7547948064603257
EIF5AL1,TOL,Testis,11.2653,0.4296458833061436,0.8296976752266882,-0.4000517919205446,0.9408895100010584
UPK3BL1,TOL,Small_Intestine_Terminal_Ileum_Lymphode_Aggregate,130.411,4.475071692782684,4.876606211180332,-0.4015345183976482,0.7730626422526166
NPIPB5,TOL,Small_Intestine_Terminal_Ileum_Lymphode_Aggregate,36.5979,3.1749188393601786,3.5790890351314286,-0.40417019577125,0.6876338308783968
UGT2B10,TOL,Liver,96.2839,0.0,0.4047189417838279,-0.4047189417838279,0.9861151747398508
CCZ1B,TOL,Cells_EBV-transformed_lymphocytes,10.4169,2.434522258921699,2.8466301132715683,-0.4121078543498693,0.4107843411173261
RASA4,TOL,Pancreas_Islets,4.81359,0.8214318975093613,1.2366097178530822,-0.4151778203437208,0.711791711110952
SERPINB4,TOL,Vagina,139.798,0.0,0.4162731014217278,-0.4162731014217278,0.9810040440012274
FBXO22,TOL,Brain_Cerebellum,16.8244,2.2653355990856867,2.692921772356325,-0.4275861732706381,0.6743866406537484
PLEKHM1,TOL,Esophagus_Mucosa,41.7449,3.204488752044942,3.637673534512007,-0.4331847824670647,0.7183800913315606
CDK11B,TOL,Testis,62.9346,4.372329946383244,4.812720954968801,-0.4403910085855562,0.5668591242147558
NPIPB3,TOL,Small_Intestine_Terminal_Ileum_Lymphode_Aggregate,7.80423,1.419616511859059,1.8642869818367744,-0.4446704699777155,0.6657139724513348
PWWP2B,TOL,Spleen,51.9019,3.861839773994028,4.317147631719497,-0.4553078577254688,0.6071552725200033
EOLA1,TOL,Pituitary,12.2824,2.487637179824349,2.949981832307139,-0.4623446524827899,0.4740702628977175
GOLGA8R,TOL,Thyroid,3.92036,0.3217435071261477,0.7878360586019137,-0.466092551475766,0.8329982602877013
H2AC11,TOL,Testis,10.3711,0.1592757054846791,0.6259094831205061,-0.4666337776358269,0.9515241730140744
NPIPB4,TOL,Small_Intestine_Terminal_Ileum_Lymphode_Aggregate,10.7632,1.4625337781614578,1.9298915880398797,-0.4673578098784217,0.7376370327084659
NBPF12,TOL,Stomach_Mixed_Cell,44.4072,2.5124891386079806,3.002610324957011,-0.4901211863490302,0.8392125970966655
FAM185A,TOL,Cervix_Endocervix,7.51077,1.9402138825467825,2.4345356051412788,-0.4943217225944962,0.4316450393155827
NOTCH2NLC,TOL,Skin_Sun_Exposed_Lower_leg,3.10959,0.4914616913308039,0.9881280122203718,-0.4966663208895679,0.7004114330377
OSCAR,TOL,Whole_Blood,141.223,1.32338200525874,1.8206622449434215,-0.4972802396846818,0.9756157826391012
ALG10B,TOL,Cells_EBV-transformed_lymphocytes,7.53084,1.1799833329513751,1.6856122300883438,-0.5056288971369687,0.7133643195498518
GBA,TOL,Cells_Cultured_fibroblasts,44.7263,3.4154050018130624,3.925184735954171,-0.5097797341411088,0.6768392939597695
WASHC1,TOL,Fallopian_Tube,27.6502,3.2377615582556065,3.750116846115239,-0.512355287859632,0.5409623875760474
CYP4A11,TOL,Liver,235.944,0.2797152289292823,0.7998571768796129,-0.5201419479503305,0.9774966263181092
GOLGA8H,TOL,Testis,6.23302,0.3160511943091947,0.8399035344668837,-0.5238523401576889,0.8850183066908417
CYP2A6,TOL,Liver,538.223,0.2866715534453732,0.8137356073127735,-0.5270640538674003,0.9955757845725656
GPAT2,TOL,Testis,16.7789,1.3033837967286792,1.8319506670646333,-0.5285668703359541,0.8444053587915099
GYPE,TOL,Small_Intestine_Terminal_Ileum_Lymphode_Aggregate,6.91139,0.3238947670272752,0.8525963936189189,-0.5287016265916437,0.8820933389795037
ACOT1,TOL,Liver_Mixed_Cell,19.989,2.215564591813506,2.7569692022967844,-0.5414046104832786,0.6955212755074994
PDPR,TOL,Testis,32.7899,3.4420798975953426,3.9858614254369007,-0.5437815278415581,0.5376126877073953
UPK3BL2,TOL,Small_Intestine_Terminal_Ileum_Lymphode_Aggregate,10.6827,1.6124479553195732,2.161884229638825,-0.5494362743192518,0.6842664894516997
GOLGA6L10,TOL,Testis,11.1007,0.4069968920238691,0.957778388721395,-0.550781496697526,0.9237041687165352
LGALS7,TOL,Skin_Not_Sun_Exposed_Suprapubic,328.912,0.0453275700781301,0.6074199866115851,-0.562092416533455,0.9818223298987018
MUC20,TOL,Kidney_Medulla,40.4849,2.362521163379796,2.9330070126154144,-0.5704858492356184,0.8096289831001299
SCART1,TOL,Liver_Portal_Tract,7.89184,1.1095651993587556,1.6878323374316389,-0.5782671380728832,0.7258455852983078
